fecha_consulta,partido,liga,hora_partido,cuota_1,casa_1,cuota_X,casa_X,cuota_2,casa_2,cuota_over25,casa_over25,cuota_under25,casa_under25
2026-05-22T09:16:44,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:16:44,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:16:44,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:16:44,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:16:44,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:16:44,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:16:44,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:16:44,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:16:44,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T09:16:44,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T09:16:44,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T09:16:44,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T09:16:44,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T09:16:44,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T09:16:44,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T09:16:44,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T09:16:44,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T09:16:44,Orlando Storm vs DC Defenders,UFL,19:00,,,,,,,,,,
2026-05-22T09:32:11,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:40,,,,,,,,,,
2026-05-22T09:32:11,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T09:32:11,Chicago Cubs vs Houston Astros,MLB,13:21,,,,,,,,,,
2026-05-22T09:32:11,Cincinnati Reds vs St. Louis Cardinals,MLB,17:41,,,,,,,,,,
2026-05-22T09:32:11,Philadelphia Phillies vs Cleveland Guardians,MLB,17:41,,,,,,,,,,
2026-05-22T09:32:11,New York Yankees vs Tampa Bay Rays,MLB,18:06,,,,,,,,,,
2026-05-22T09:32:11,Toronto Blue Jays vs Pittsburgh Pirates,MLB,18:08,,,,,,,,,,
2026-05-22T09:32:11,Boston Red Sox vs Minnesota Twins,MLB,18:11,,,,,,,,,,
2026-05-22T09:32:11,Miami Marlins vs New York Mets,MLB,18:11,,,,,,,,,,
2026-05-22T09:32:11,Atlanta Braves vs Washington Nationals,MLB,18:15,,,,,,,,,,
2026-05-22T09:32:11,Baltimore Orioles vs Detroit Tigers,MLB,18:16,,,,,,,,,,
2026-05-22T09:32:11,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:32:11,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:32:11,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:32:11,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:32:11,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:32:11,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:32:11,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:32:11,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:32:11,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T09:32:11,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T09:32:11,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T09:32:11,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T09:32:11,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T09:32:11,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T09:32:11,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T09:32:11,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T09:32:11,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T09:32:11,Orlando Storm vs DC Defenders,UFL,19:00,,,,,,,,,,
2026-05-22T09:41:01,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:40,,,,,,,,,,
2026-05-22T09:41:01,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T09:41:01,Chicago Cubs vs Houston Astros,MLB,13:21,,,,,,,,,,
2026-05-22T09:41:01,Cincinnati Reds vs St. Louis Cardinals,MLB,17:41,,,,,,,,,,
2026-05-22T09:41:01,Philadelphia Phillies vs Cleveland Guardians,MLB,17:41,,,,,,,,,,
2026-05-22T09:41:01,New York Yankees vs Tampa Bay Rays,MLB,18:06,,,,,,,,,,
2026-05-22T09:41:01,Toronto Blue Jays vs Pittsburgh Pirates,MLB,18:08,,,,,,,,,,
2026-05-22T09:41:01,Boston Red Sox vs Minnesota Twins,MLB,18:11,,,,,,,,,,
2026-05-22T09:41:01,Miami Marlins vs New York Mets,MLB,18:11,,,,,,,,,,
2026-05-22T09:41:01,Atlanta Braves vs Washington Nationals,MLB,18:15,,,,,,,,,,
2026-05-22T09:41:01,Baltimore Orioles vs Detroit Tigers,MLB,18:16,,,,,,,,,,
2026-05-22T09:41:01,Kansas City Royals vs Seattle Mariners,MLB,18:41,,,,,,,,,,
2026-05-22T09:41:01,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:41,,,,,,,,,,
2026-05-22T09:41:01,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T09:41:01,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T09:41:01,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T09:41:01,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T09:41:01,Colorado Avalanche vs Vegas Golden Knights,NHL,19:00,,,,,,,,,,
2026-05-22T09:41:01,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T09:41:01,Orlando Storm vs DC Defenders,UFL,19:00,,,,,,,,,,
2026-05-22T22:09:38,San Antonio Spurs vs Oklahoma City Thunder,NBA,19:37,,,,,,,,,,
2026-05-22T22:09:38,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
2026-05-22T22:09:38,Los Angeles Angels vs Texas Rangers,MLB,20:39,,,,,,,,,,
2026-05-22T22:09:38,Arizona Diamondbacks vs Colorado Rockies,MLB,20:41,,,,,,,,,,
2026-05-22T22:09:38,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T22:09:38,San Francisco Giants vs Chicago White Sox,MLB,21:16,,,,,,,,,,
2026-05-22T22:09:38,Toronto Blue Jays vs Pittsburgh Pirates,MLB,14:08,,,,,,,,,,
2026-05-22T22:09:38,Baltimore Orioles vs Detroit Tigers,MLB,15:06,,,,,,,,,,
2026-05-22T22:09:38,San Francisco Giants vs Chicago White Sox,MLB,15:06,,,,,,,,,,
2026-05-22T22:09:38,Philadelphia Phillies vs Cleveland Guardians,MLB,15:06,,,,,,,,,,
2026-05-22T22:09:38,Atlanta Braves vs Washington Nationals,MLB,15:11,,,,,,,,,,
2026-05-22T22:09:38,Kansas City Royals vs Seattle Mariners,MLB,15:11,,,,,,,,,,
2026-05-22T22:09:38,Milwaukee Brewers vs Los Angeles Dodgers,MLB,18:16,,,,,,,,,,
2026-05-22T22:09:38,San Diego Padres vs Athletics,MLB,20:41,,,,,,,,,,
2026-05-22T22:09:38,Los Angeles Angels vs Texas Rangers,MLB,21:06,,,,,,,,,,
2026-05-22T22:09:38,Arizona Diamondbacks vs Colorado Rockies,MLB,21:11,,,,,,,,,,
2026-05-22T22:09:38,Carolina Hurricanes vs Montréal Canadiens,NHL,18:00,,,,,,,,,,
2026-05-22T22:09:38,Seattle Seahawks vs New England Patriots,NFL,19:15,,,,,,,,,,
2026-05-22T22:09:38,Los Angeles Rams vs San Francisco 49ers,NFL,19:35,,,,,,,,,,
2026-05-22T22:09:38,Pittsburgh Steelers vs Atlanta Falcons,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Indianapolis Colts vs Baltimore Ravens,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Houston Texans vs Buffalo Bills,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Carolina Panthers vs Chicago Bears,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Cincinnati Bengals vs Tampa Bay Buccaneers,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Jacksonville Jaguars vs Cleveland Browns,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Detroit Lions vs New Orleans Saints,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Tennessee Titans vs New York Jets,NFL,12:00,,,,,,,,,,
2026-05-22T22:09:38,Los Angeles Chargers vs Arizona Cardinals,NFL,15:25,,,,,,,,,,
2026-05-22T22:09:38,Minnesota Vikings vs Green Bay Packers,NFL,15:25,,,,,,,,,,
2026-05-22T22:09:38,Las Vegas Raiders vs Miami Dolphins,NFL,15:25,,,,,,,,,,
2026-05-22T22:09:38,Philadelphia Eagles vs Washington Commanders,NFL,15:25,,,,,,,,,,
2026-05-22T22:09:38,New York Giants vs Dallas Cowboys,NFL,19:20,,,,,,,,,,
2026-05-22T22:09:38,Kansas City Chiefs vs Denver Broncos,NFL,19:15,,,,,,,,,,
2026-05-22T22:21:59,Cleveland Cavaliers vs New York Knicks,NBA,19:10,,,,,,,,,,
